date,close,open,high,low,value,capitalization,divisor
2001-01-03,135.73,135.73,135.73,135.73,0.0,6275159765419.83,3254811524.0
2001-01-04,145.36,135.73,145.36,145.36,0.0,6275159765419.83,3254811524.0
2001-01-05,148.96,145.36,148.96,148.96,0.0,6275159765419.83,3254811524.0
2001-01-09,150.89,148.96,150.89,150.89,0.0,6275159765419.83,3254811524.0
2001-01-10,159.29,150.89,159.29,159.29,0.0,6275159765419.83,3254811524.0
2001-01-11,160.03,159.29,160.03,160.03,0.0,6275159765419.83,3254811524.0
2001-01-12,163.12,160.03,163.12,163.12,0.0,6275159765419.83,3254811524.0
2001-01-15,163.21,163.12,163.21,163.21,0.0,6275159765419.83,3254811524.0
2001-01-16,165.7,163.21,165.7,165.7,0.0,6275159765419.83,3254811524.0
2001-01-17,169.76,165.7,169.76,169.76,0.0,6275159765419.83,3254811524.0
2001-01-18,171.6,169.76,171.6,171.6,0.0,6275159765419.83,3254811524.0
2001-01-19,174.9,171.6,174.9,174.9,0.0,6275159765419.83,3254811524.0
2001-01-22,166.03,174.9,166.03,166.03,0.0,6275159765419.83,3254811524.0
2001-01-23,168.59,166.03,168.59,168.59,0.0,6275159765419.83,3254811524.0
2001-01-24,174.97,168.59,174.97,174.97,0.0,6275159765419.83,3254811524.0
2001-01-25,176.92,174.97,176.92,176.92,0.0,6275159765419.83,3254811524.0
2001-01-26,176.56,176.92,176.56,176.56,0.0,6275159765419.83,3254811524.0
2001-01-29,169.95,176.56,169.95,169.95,0.0,6275159765419.83,3254811524.0
2001-01-30,167.88,169.95,167.88,167.88,0.0,6275159765419.83,3254811524.0
2001-01-31,167.74,167.88,167.74,167.74,0.0,6275159765419.83,3254811524.0
2001-02-01,165.61,167.74,165.61,165.61,0.0,6275159765419.83,3254811524.0
2001-02-02,165.35,165.61,165.35,165.35,0.0,6275159765419.83,3254811524.0
2001-02-05,162.21,165.35,162.21,162.21,0.0,6275159765419.83,3254811524.0
2001-02-06,165.28,162.21,165.28,165.28,0.0,6275159765419.83,3254811524.0
2001-02-07,163.87,165.28,163.87,163.87,0.0,6275159765419.83,3254811524.0
2001-02-08,166.4,163.87,166.4,166.4,0.0,6275159765419.83,3254811524.0
2001-02-09,166.37,166.4,166.37,166.37,0.0,6275159765419.83,3254811524.0
2001-02-12,166.46,166.37,166.46,166.46,0.0,6275159765419.83,3254811524.0
2001-02-13,171.3,166.46,171.3,171.3,0.0,6275159765419.83,3254811524.0
2001-02-14,174.15,171.3,174.15,174.15,0.0,6275159765419.83,3254811524.0
2001-02-15,180.64,174.15,180.64,180.64,0.0,6275159765419.83,3254811524.0
2001-02-16,183.51,180.64,183.51,183.51,0.0,6275159765419.83,3254811524.0
2001-02-19,173.96,183.51,173.96,173.96,0.0,6275159765419.83,3254811524.0
2001-02-20,172.35,173.96,172.35,172.35,0.0,6275159765419.83,3254811524.0
2001-02-21,159.03,172.35,159.03,159.03,0.0,6275159765419.83,3254811524.0
2001-02-22,161.17,159.03,161.17,161.17,0.0,6275159765419.83,3254811524.0
2001-02-23,160.46,161.17,160.46,160.46,0.0,6275159765419.83,3254811524.0
2001-02-26,162.48,160.46,162.48,162.48,0.0,6275159765419.83,3254811524.0
2001-02-27,161.41,162.48,161.41,161.41,0.0,6275159765419.83,3254811524.0
2001-02-28,158.1,161.41,158.1,158.1,0.0,6275159765419.83,3254811524.0
2001-03-01,155.42,158.1,155.42,155.42,0.0,6275159765419.83,3254811524.0
2001-03-02,157.21,155.42,157.21,157.21,0.0,6275159765419.83,3254811524.0
2001-03-05,160.74,157.21,160.74,160.74,0.0,6275159765419.83,3254811524.0
2001-03-06,171.72,160.74,171.72,171.72,0.0,6275159765419.83,3254811524.0
2001-03-07,172.0,171.72,172.0,172.0,0.0,6275159765419.83,3254811524.0
2001-03-11,171.16,172.0,171.16,171.16,0.0,6275159765419.83,3254811524.0
2001-03-12,168.22,171.16,168.22,168.22,0.0,6275159765419.83,3254811524.0
2001-03-13,166.71,168.22,166.71,166.71,0.0,6275159765419.83,3254811524.0
2001-03-14,164.43,166.71,164.43,164.43,0.0,6275159765419.83,3254811524.0
2001-03-15,164.39,164.43,164.39,164.39,0.0,6275159765419.83,3254811524.0
2001-03-16,166.0,164.39,166.0,166.0,0.0,6275159765419.83,3254811524.0
2001-03-19,170.26,166.0,170.26,170.26,0.0,6275159765419.83,3254811524.0
2001-03-20,171.29,170.26,171.29,171.29,0.0,6275159765419.83,3254811524.0
2001-03-21,166.27,171.29,166.27,166.27,0.0,6275159765419.83,3254811524.0
2001-03-22,163.97,166.27,163.97,163.97,0.0,6275159765419.83,3254811524.0
2001-03-23,168.48,163.97,168.48,168.48,0.0,6275159765419.83,3254811524.0
2001-03-26,169.17,168.48,169.17,169.17,0.0,6275159765419.83,3254811524.0
2001-03-27,168.66,169.17,168.66,168.66,0.0,6275159765419.83,3254811524.0
2001-03-28,169.93,168.66,169.93,169.93,0.0,6275159765419.83,3254811524.0
2001-03-29,166.19,169.93,166.19,166.19,0.0,6275159765419.83,3254811524.0
2001-03-30,166.67,166.19,166.67,166.67,0.0,6275159765419.83,3254811524.0
2001-04-02,164.38,166.67,164.38,164.38,0.0,6275159765419.83,3254811524.0
2001-04-03,160.36,164.38,160.36,160.36,0.0,6275159765419.83,3254811524.0
2001-04-04,156.29,160.36,156.29,156.29,0.0,6275159765419.83,3254811524.0
2001-04-05,163.91,156.29,163.91,163.91,0.0,6275159765419.83,3254811524.0
2001-04-06,164.9,163.91,164.9,164.9,0.0,6275159765419.83,3254811524.0
2001-04-09,163.76,164.9,163.76,163.76,0.0,6275159765419.83,3254811524.0
2001-04-10,168.8,163.76,168.8,168.8,0.0,6275159765419.83,3254811524.0
2001-04-11,171.13,168.8,171.13,171.13,0.0,6275159765419.83,3254811524.0
2001-04-12,170.89,171.13,170.89,170.89,0.0,6275159765419.83,3254811524.0
2001-04-13,171.15,170.89,171.15,171.15,0.0,6275159765419.83,3254811524.0
2001-04-16,168.94,171.15,168.94,168.94,0.0,6275159765419.83,3254811524.0
2001-04-17,165.27,168.94,165.27,165.27,0.0,6275159765419.83,3254811524.0
2001-04-18,171.86,165.27,171.86,171.86,0.0,6275159765419.83,3254811524.0
2001-04-19,175.01,171.86,175.01,175.01,0.0,6275159765419.83,3254811524.0
