date,asset,type,total_oi,fiz_oi,yur_oi,fiz_share,yur_share,long_fiz,short_fiz,long_jur,short_jur,Open,High,Low,Close,Volume,contract
2019-01-03,ALRS,futures,3734.0,,,,,,,,,,,,,,
2019-01-03,GAZR,futures,194492.0,,,,,,,,,,,,,,
2019-01-03,LKOH,futures,29062.0,,,,,,,,,,,,,,
2019-01-03,MGNT,futures,174604.0,,,,,,,,,,,,,,
2019-01-03,MXI,futures,21472.0,,,,,,,,,,,,,,
2019-01-03,ROSN,futures,8474.0,,,,,,,,,,,,,,
2019-01-03,SBRF,futures,637764.0,,,,,,,,,,,,,,
2019-01-03,VTBR,futures,267672.0,,,,,,,,,,,,,,
2019-01-04,ALRS,futures,3870.0,,,,,,,,,,,,,,
2019-01-04,GAZR,futures,184306.0,,,,,,,,,,,,,,
2019-01-04,LKOH,futures,27720.0,,,,,,,,,,,,,,
2019-01-04,MGNT,futures,168782.0,,,,,,,,,,,,,,
2019-01-04,MXI,futures,17716.0,,,,,,,,,,,,,,
2019-01-04,ROSN,futures,9194.0,,,,,,,,,,,,,,
2019-01-04,SBRF,futures,649340.0,,,,,,,,,,,,,,
2019-01-04,VTBR,futures,263938.0,,,,,,,,,,,,,,
2019-01-08,ALRS,futures,4434.0,,,,,,,,,,,,,,
2019-01-08,GAZR,futures,186848.0,,,,,,,,,,,,,,
2019-01-08,LKOH,futures,28256.0,,,,,,,,,,,,,,
2019-01-08,MGNT,futures,169526.0,,,,,,,,,,,,,,
2019-01-08,MXI,futures,16894.0,,,,,,,,,,,,,,
2019-01-08,ROSN,futures,9548.0,,,,,,,,,,,,,,
2019-01-08,SBRF,futures,623536.0,,,,,,,,,,,,,,
2019-01-08,VTBR,futures,260856.0,,,,,,,,,,,,,,
2019-01-09,ALRS,futures,4170.0,,,,,,,,,,,,,,
2019-01-09,GAZR,futures,184442.0,,,,,,,,,,,,,,
2019-01-09,LKOH,futures,28940.0,,,,,,,,,,,,,,
2019-01-09,MGNT,futures,166880.0,,,,,,,,,,,,,,
2019-01-09,MXI,futures,19164.0,,,,,,,,,,,,,,
2019-01-09,ROSN,futures,9844.0,,,,,,,,,,,,,,
2019-01-09,SBRF,futures,684778.0,,,,,,,,,,,,,,
2019-01-09,VTBR,futures,262764.0,,,,,,,,,,,,,,
2019-01-10,ALRS,futures,4056.0,,,,,,,,,,,,,,
2019-01-10,GAZR,futures,196244.0,,,,,,,,,,,,,,
2019-01-10,LKOH,futures,31322.0,,,,,,,,,,,,,,
2019-01-10,MGNT,futures,181944.0,,,,,,,,,,,,,,
2019-01-10,MXI,futures,24362.0,,,,,,,,,,,,,,
2019-01-10,ROSN,futures,10610.0,,,,,,,,,,,,,,
2019-01-10,SBRF,futures,671682.0,,,,,,,,,,,,,,
2019-01-10,VTBR,futures,274926.0,,,,,,,,,,,,,,
2019-01-11,ALRS,futures,3854.0,,,,,,,,,,,,,,
2019-01-11,GAZR,futures,190742.0,,,,,,,,,,,,,,
2019-01-11,LKOH,futures,31278.0,,,,,,,,,,,,,,
2019-01-11,MGNT,futures,171602.0,,,,,,,,,,,,,,
2019-01-11,MXI,futures,25504.0,,,,,,,,,,,,,,
2019-01-11,ROSN,futures,11194.0,,,,,,,,,,,,,,
2019-01-11,SBRF,futures,629060.0,,,,,,,,,,,,,,
2019-01-11,VTBR,futures,270716.0,,,,,,,,,,,,,,
2019-01-14,ALRS,futures,3674.0,,,,,,,,,,,,,,
2019-01-14,GAZR,futures,196486.0,,,,,,,,,,,,,,
2019-01-14,LKOH,futures,29200.0,,,,,,,,,,,,,,
2019-01-14,MGNT,futures,165862.0,,,,,,,,,,,,,,
2019-01-14,MXI,futures,28966.0,,,,,,,,,,,,,,
