Дата,Физические лица | Длинные позиции | (позиции покупателя),Короткие позиции | (позиции продавца),"Количество лиц, имеющих открытые длинные позиции","Количество лиц, имеющих открытые короткие позиции",Юридические лица | Длинные позиции | (позиции покупателя),Короткие позиции | (позиции продавца),"Количество лиц, имеющих открытые длинные позиции","Количество лиц, имеющих открытые короткие позиции",Совокупный объем открытых позиций,ОИ физиков,IMOEX | Close,Lons/Short физ.,Lons/Short юр.,% Long у физ.от общ.Long,% Short у физ.от общ.Sort
2020-08-11,2293,6473,275,688,12172,7992,24,16,28930,8766,2966.98,0.3542406921056697,1.523023023023023,15.852056688558589,44.74939509160041
2020-08-12,2705,7418,257,758,12426,7713,21,18,30262,10123,2990.48,0.36465354543003503,1.6110462854920264,17.877205736567312,49.02518009384707
2020-08-13,2952,7891,278,781,15376,10437,20,25,36656,10843,3055.45,0.3740970726143708,1.473220274025103,16.10650371017023,43.05434308162375
2020-08-14,2061,7202,265,748,15455,10314,21,22,35032,9263,3074.04,0.2861705081921688,1.4984487104905952,11.766385019410825,41.11669330897465
2020-08-17,2141,7033,276,707,15419,10527,20,22,35120,9174,3071.39,0.30442201052182566,1.4647097938633988,12.19248291571754,40.05125284738041
2020-08-18,2296,7601,298,714,15748,10443,23,20,36088,9897,3056.79,0.30206551769504014,1.5079957866513454,12.724451341166038,42.12480602970516
2020-08-19,2119,6955,289,715,15104,10268,20,20,34446,9074,3048.22,0.30467289719626167,1.4709777950915466,12.3033153341462,40.3820472623817
2020-08-20,3359,7223,334,689,16443,12579,23,21,39604,10582,3044.92,0.4650422262217915,1.307178631051753,16.962933037066964,36.476113523886475
2020-08-21,2712,7051,310,687,16513,12174,19,26,38450,9763,3013.4,0.3846262941426748,1.3564153113192048,14.10663198959688,36.67620286085826
2020-08-24,2476,7801,293,724,16178,10853,18,20,37308,10277,3005.86,0.31739520574285346,1.490647747166682,13.273292591401308,41.819448911761555
2020-08-25,2617,8070,297,777,16392,10939,18,22,38018,10687,3042.58,0.32428748451053285,1.498491635432855,13.76716292282603,42.453574622547215
2020-08-26,2660,8170,293,777,16171,10661,22,20,37662,10830,3041.19,0.32558139534883723,1.5168370696932745,14.12564388508311,43.38590621846954
2020-08-27,3282,8146,342,725,16126,11262,23,18,38816,11428,3051.2,0.40289712742450284,1.4318948676966792,16.910552349546577,41.97238252267106
2020-08-28,3266,8573,343,722,16185,10878,23,18,38902,11839,3015.7,0.3809634900268284,1.487865416436845,16.790910493033778,44.074854763251246
2020-08-31,5088,8221,347,707,16712,13579,21,23,43600,13309,2993.02,0.6189028098771439,1.230723911922822,23.339449541284406,37.711009174311926
2020-09-01,4045,8263,337,697,18856,14638,21,22,45802,12308,2976.07,0.48953164710153696,1.2881541194152206,17.66298414916379,36.08139382559713
2020-09-02,2682,8359,298,749,16819,11142,18,24,39002,11041,2989.76,0.32085177652829283,1.5095135523245378,13.753140864571048,42.864468488795445
2020-09-03,3174,8225,312,683,16554,11503,19,24,39456,11399,2954.62,0.3858966565349544,1.4391028427366774,16.08880778588808,41.69201135442011
2020-09-04,2503,8433,307,677,14676,8746,18,24,34358,10936,2920.22,0.2968101505988379,1.6780242396524125,14.570114674893766,49.08900401653181
2020-09-07,2341,8533,327,660,14972,8780,20,21,34626,10874,2929.38,0.27434665416617837,1.705239179954442,13.52163114422688,49.28666320106279
2020-09-08,2591,8061,328,613,14500,9030,21,21,34182,10652,2937.18,0.32142414092544347,1.6057585825027685,15.160025744543912,47.16517465332631
2020-09-09,2768,8164,377,574,13922,8526,23,20,33380,10932,2880.83,0.3390494855463008,1.6328876378137462,16.584781306171358,48.91551827441582
2020-09-10,2541,7516,361,561,13559,8584,19,22,32200,10057,2888.09,0.33807876530069186,1.5795666356011184,15.782608695652172,46.683229813664596
2020-09-14,2440,6356,354,477,12114,8198,22,20,29108,8796,2918.29,0.3838892385147892,1.4776774823127592,16.76515047409647,43.67184279235949
2020-09-15,2053,7609,282,578,14211,8655,24,19,32528,9662,2936.42,0.26981206466027075,1.6419410745233969,12.62297097884899,46.78430890309887
2020-09-16,2243,6717,299,484,14241,9767,22,20,32968,8960,2982.49,0.333928837278547,1.4580731033070544,13.607134190730404,40.74860470759524
2020-09-17,1885,5710,252,373,6801,2976,22,27,17372,7595,2947.54,0.330122591943958,2.285282258064516,21.701588763527514,65.73796914575179
2020-09-18,2459,5360,337,373,6257,3356,20,31,17432,7819,2976.1,0.4587686567164179,1.8644219308700833,28.212482790270766,61.496099128040385
2020-09-21,3368,4736,396,380,5094,3726,17,18,16924,8104,2946.18,0.7111486486486487,1.3671497584541064,39.80146537461593,55.96785629874734
